"","node_id","number_in_pattern"
"217",110878,12
"218",110901,21
"219",110903,11
"220",110904,9
"221",110905,6
"222",110908,4
"223",110927,16
"224",110932,5
"225",111003,1
"226",111653,18
"227",111824,22
"228",111984,17
"229",112041,26
"230",112082,23
"231",112103,10
"232",112171,2
"233",112422,30
"234",113328,27
"235",113549,28
"236",113834,3
"237",114164,20
"238",114300,24
"239",114515,7
"240",114516,19
"241",122145,20
"242",122150,12
"243",122926,15
"244",123080,25
"245",123110,22
"246",123151,27
"247",123289,17
"248",123309,29
"249",123397,18
"250",123433,3
"251",123472,30
"252",123715,16
"253",123953,26
"254",125805,21
"255",125807,12
"256",125812,7
"257",125818,20
"258",125894,6
"259",125901,16
"260",125921,5
"261",125932,13
"262",125974,19
"263",125999,21
"264",126003,4
"265",126006,14
"266",126011,5
"267",126018,3
"268",126040,28
"269",126047,26
"270",126049,1
"271",126051,7
"272",126060,29
"273",126061,27
"274",126063,2
"275",126065,23
"276",126067,11
"277",126283,9
"278",126290,2
"279",126295,10
"280",126299,8
"281",126308,10
"282",126315,19
"283",126321,15
"284",126322,17
"285",126331,24
"286",126333,24
"287",126435,28
"288",126483,4
"289",126486,25
"290",126488,9
"291",126512,14
"292",126526,22
"293",126527,13
"294",126769,1
"295",126770,23
"296",126830,30
"297",126964,11
"298",127015,8
"299",127028,6
"300",127037,18
"301",127236,8
"302",127492,24
"303",127494,24
"304",127495,19
"305",127507,29
"306",127511,17
"307",127513,16
"308",127519,6
"309",127521,2
"310",127541,23
"311",127545,27
"312",127547,18
"313",127554,9
"314",127557,12
"315",127576,7
"316",127577,10
"317",127578,14
"318",127579,21
"319",127592,22
"320",127595,20
"321",127596,1
"322",127598,25
"323",127599,26
"324",127660,30
"325",128988,3
"326",129890,28
"327",130151,4
"328",130430,11
"329",131453,5
"330",131525,13
"331",131690,15
"332",131695,24
"333",131705,4
"334",131707,16
"335",131714,30
"336",131716,2
"337",131718,3
"338",131721,8
"339",131724,1
"340",131726,5
"341",131801,9
"342",131813,12
"343",131827,23
"344",131831,26
"345",131904,19
"346",131908,7
"347",131910,4
"348",131911,19
"349",131919,27
"350",131937,11
"351",132074,20
"352",132078,28
"353",132086,4
"354",132089,30
"355",132095,23
"356",132096,15
"357",132097,18
"358",132121,15
"359",132123,7
"360",132126,14
"361",132136,28
"362",132138,27
"363",132154,15
"364",132159,22
"365",132176,29
"366",132180,17
"367",132196,22
"368",132197,1
"369",132199,23
"370",132200,25
"371",132203,23
"372",132205,21
"373",132212,15
"374",132219,9
"375",132220,18
"376",132221,3
"377",132223,14
"378",132226,26
"379",132233,25
"380",132237,14
"381",132239,25
"382",133284,1
"383",133475,12
"384",133561,30
"385",133966,13
"386",134278,10
"387",134286,14
"388",134909,6
"389",135508,5
"390",135747,2
"391",135760,19
"392",135763,17
"393",135784,10
"394",135835,16
"395",135921,8
"396",135942,11
"397",135988,11
"398",136120,13
"399",136129,21
"400",136131,20
"401",136132,6
"402",136144,29
"403",136145,18
"404",136159,27
"405",136304,6
"406",136352,6
"407",136354,30
"408",136358,20
"409",136370,22
"410",136372,2
"411",136403,5
"412",136407,22
"413",136426,28
"414",136427,7
"415",136453,1
"416",136600,16
"417",136645,26
"418",136666,12
"419",136667,18
"420",136708,10
"421",136711,17
"422",136729,13
"423",136740,3
"424",136748,27
"425",136753,4
"426",136754,19
"427",136785,21
"428",136796,9
"429",136800,24
"430",136814,8
"431",136825,29
"432",136945,25
"433",137017,3
"434",137021,2
"435",137041,9
"436",137042,29
"437",137045,20
"438",137046,24
"439",137070,10
"440",137074,8
"441",137076,21
"442",137078,7
"443",137129,13
"444",137130,17
"445",137176,11
"446",137247,5
"447",137251,26
"448",137373,16
"449",137902,28
"450",137914,12
